name,slug,description
Благоустройство и озеленение территорий,blagoustrojstvo-i-ozelenenie,"Помощь в организации и проведении работ по уходу за городскими парками, скверами, бульварами и дворами".
Культурные и образовательные проекты,kulturnye-i-obrazovatelnye,"Организация и проведение лекций, мастер-классов, выставок, театральных постановок, кинопоказов и других мероприятий".
Экологические проекты,ekologicheskie-proekty,"Уборка мусора и очистка водоемов, посадка деревьев и кустов, организация экологических акций и фестивалей".
Ремонт и реставрация памятников архитектуры,remont-i-restavraciya,Помощь в восстановлении исторических зданий и сооружений.
Урбанистика,urbanistika,"Улучшение города путем транспортного планирования, архитектуры и создания мест для досуга горожан".
